Timestamp,Production (kW)
02/25 16,20.21
02/25 17,7.24
02/25 18,0.00
02/25 19,0.00
02/25 20,0.00
02/25 21,0.00
02/25 22,0.00
02/25 23,0.00
02/26 00,0.00
02/26 01,0.00
02/26 02,0.00
02/26 03,0.00
02/26 04,0.00
02/26 05,1.27
02/26 06,4.17
02/26 07,6.15
02/26 08,19.56
02/26 09,39.73
02/26 10,33.60
02/26 11,38.48
02/26 12,58.18
02/26 13,45.30
02/26 14,17.99
02/26 15,15.70
02/26 16,20.40
02/26 17,6.62
02/26 18,0.00
02/26 19,0.00
02/26 20,0.00
02/26 21,0.00
02/26 22,0.00
02/26 23,0.00
02/27 00,0.00
02/27 01,0.00
02/27 02,0.00
02/27 03,0.00
02/27 04,0.00
02/27 05,0.45
02/27 06,2.13
02/27 07,13.12
02/27 08,26.17
02/27 09,40.95
02/27 10,44.67
02/27 11,32.80
02/27 12,33.37
02/27 13,40.73
02/27 14,24.55
02/27 15,4.45
02/27 16,4.31
02/27 17,2.01
02/27 18,0.00
02/27 19,0.00
02/27 20,0.00
02/27 21,0.00
02/27 22,0.00
02/27 23,0.00
02/28 00,0.00
02/28 01,0.00
