Timestamp,Production (kW),Load kW,Load kVA
01/18 21,0.0,272.0,317.6
01/18 22,0.0,266.6,311.3
01/18 23,0.0,256.5,275.6
01/19 00,0.0,244.4,262.5
01/19 01,0.0,235.3,252.8
01/19 02,0.0,231.1,248.2
01/19 03,0.0,225.1,241.8
01/19 04,0.0,228.7,245.6
01/19 05,2.05,223.9,240.5
01/19 06,11.3,229.2,246.1
01/19 07,27.9,239.4,257.1
01/19 08,45.48,259.8,279.0
01/19 09,59.71,254.4,273.3
01/19 10,68.8,263.3,282.8
01/19 11,72.85,258.5,277.6
01/19 12,71.35,276.5,297.0
01/19 13,64.07,284.2,305.2
01/19 14,52.85,268.7,288.6
01/19 15,37.57,255.6,274.5
01/19 16,19.3,253.1,271.8
01/19 17,5.7,252.0,318.5
01/19 18,0.88,257.4,282.1
01/19 19,0.0,299.8,322.0
01/19 20,0.0,282.7,345.0
01/19 21,0.0,268.1,323.6
01/19 22,0.0,259.4,278.6
01/19 23,0.0,244.5,309.0
01/20 00,0.0,239.0,256.7
01/20 01,0.0,233.6,250.9
01/20 02,0.0,234.3,251.6
01/20 03,0.0,232.4,249.6
01/20 04,0.0,231.0,248.1
01/20 05,2.2,249.4,267.8
01/20 06,11.52,262.0,281.4
01/20 07,26.16,256.6,275.7
01/20 08,38.28,281.3,302.2
01/20 09,50.0,290.8,312.4
01/20 10,61.84,282.2,303.1
01/20 11,69.56,292.9,314.6
01/20 12,69.6,299.8,322.0
01/20 13,59.75,297.8,319.8
01/20 14,47.86,278.2,298.9
01/20 15,35.83,285.0,306.1
01/20 16,19.22,273.2,296.4
01/20 17,5.75,273.0,337.0
01/20 18,1.04,276.3,349.1
01/20 19,0.0,323.4,361.8
01/20 20,0.0,298.0,320.1
01/20 21,0.0,274.3,294.6
01/20 22,0.0,261.0,280.3
01/20 23,0.0,247.9,266.3
01/21 00,0.0,238.3,255.9
01/21 01,0.0,233.9,251.2
01/21 02,0.0,233.3,250.6
01/21 03,0.0,232.6,249.8
01/21 04,0.0,231.5,248.7
01/21 05,1.56,254.8,273.7
01/21 06,8.94,279.5,300.2
01/21 07,20.5,264.6,284.3
01/21 08,30.61,275.1,295.5
01/21 09,39.25,289.2,310.6
01/21 10,42.22,279.6,300.3
01/21 11,41.61,298.2,320.3
01/21 12,40.73,298.3,320.4
01/21 13,33.75,301.6,323.9
01/21 14,27.0,293.1,314.8
01/21 15,19.61,287.8,312.3
01/21 16,8.47,277.3,297.8
01/21 17,1.8,270.5,290.5
01/21 18,0.0,282.3,309.4
01/21 19,0.0,322.5,346.4
01/21 20,0.0,294.9,316.8
01/21 21,0.0,274.0,294.3
01/21 22,0.0,265.4,285.0
01/21 23,0.0,248.1,266.5
01/22 00,0.0,242.3,260.2
01/22 01,0.0,234.5,251.9
01/22 02,0.0,235.3,252.8
01/22 03,0.0,237.4,255.0
01/22 04,0.0,235.3,252.8
01/22 05,1.87,249.7,268.3
01/22 06,11.13,283.2,304.2
01/22 07,27.77,256.3,275.3
01/22 08,45.95,252.3,271.0
01/22 09,60.64,286.9,308.2
01/22 10,56.73,264.0,283.6
01/22 11,48.03,273.6,293.9
01/22 12,48.23,274.3,294.6
01/22 13,47.13,259.5,278.7
01/22 14,43.68,228.1,245.0
01/22 15,32.2,218.7,270.1
01/22 16,17.43,209.1,229.1
01/22 17,6.43,225.9,266.6
01/22 18,1.15,253.0,286.1
01/22 19,0.0,276.0,296.5
01/22 20,0.0,264.0,283.6
01/22 21,0.0,247.5,288.9
01/22 22,0.0,235.6,253.1
01/22 23,0.0,220.5,236.9
01/23 00,0.0,211.7,227.3
01/23 01,0.0,215.2,231.1
01/23 02,0.0,214.6,230.5
01/23 03,0.0,215.5,231.4
01/23 04,0.0,215.3,231.2
01/23 05,2.05,228.1,245.0
01/23 06,12.73,263.5,283.0
01/23 07,32.58,252.1,270.8
01/23 08,54.49,256.2,275.2
01/23 09,71.72,266.8,286.6
01/23 10,57.07,257.8,276.9
01/23 11,35.88,268.8,288.7
01/23 12,45.55,264.2,283.8
01/23 13,51.04,249.7,268.2
01/23 14,44.37,233.8,251.2
01/23 15,34.62,240.7,258.5
01/23 16,18.65,231.1,248.2
01/23 17,5.44,239.7,257.4
01/23 18,0.65,258.3,277.4
01/23 19,0.0,289.7,357.7
01/23 20,0.0,261.9,331.0
01/23 21,0.0,237.9,255.5
01/23 22,0.0,223.3,255.2
01/23 23,0.0,211.6,258.2
01/24 00,0.0,207.6,223.0
01/24 01,0.0,200.8,215.6
01/24 02,0.0,207.3,222.7
01/24 03,0.0,204.8,219.9
01/24 04,0.0,207.3,222.6
01/24 05,1.63,207.8,223.2
01/24 06,10.95,246.6,264.8
01/24 07,30.21,232.3,249.5
01/24 08,50.99,236.7,254.3
01/24 09,66.46,243.2,261.2
01/24 10,75.85,245.4,263.6
01/24 11,79.67,288.8,310.2
01/24 12,78.42,311.5,334.6
01/24 13,72.22,303.8,326.3
01/24 14,60.53,287.5,308.8
01/24 15,42.89,277.6,298.2
01/24 16,21.39,269.8,289.8
01/24 17,5.97,283.4,338.2
01/24 18,0.98,292.3,369.4
01/24 19,0.0,323.9,347.9
01/24 20,0.0,305.8,328.5
01/24 21,0.0,294.2,316.0
01/24 22,0.0,284.3,305.4
01/24 23,0.0,270.1,322.3
01/25 00,0.0,265.2,284.9
01/25 01,0.0,262.1,281.5
01/25 02,0.0,262.1,281.5
01/25 03,0.0,259.9,279.2
01/25 04,0.0,257.7,276.9
01/25 05,1.94,274.2,294.6
01/25 06,11.18,287.3,308.6
01/25 07,29.3,242.5,260.5
01/25 08,49.12,268.6,288.5
01/25 09,63.66,306.7,329.4
01/25 10,71.98,298.8,321.0
01/25 11,75.35,295.7,317.6
01/25 12,74.33,311.7,334.8
01/25 13,68.38,309.5,332.5
01/25 14,57.28,293.1,314.8
01/25 15,40.86,275.8,296.2
01/25 16,20.73,273.8,309.5
01/25 17,6.01,283.8,304.8
01/25 18,0.9,282.7,303.7
01/25 19,0.0,324.6,367.1
01/25 20,0.0,310.2,333.2
01/25 21,0.0,294.7,347.8
01/25 22,0.0,289.3,310.7
01/25 23,0.0,279.6,300.3
01/26 00,0.0,271.8,292.0
01/26 01,0.0,263.3,282.8
01/26 02,0.0,253.6,272.4
01/26 03,0.0,252.1,270.7
01/26 04,0.0,256.7,275.7
01/26 05,1.5,247.9,266.3
01/26 06,11.4,254.0,272.8
01/26 07,32.0,259.5,278.7
01/26 08,53.79,286.2,307.4
01/26 09,69.65,283.8,304.8
01/26 10,78.98,291.0,312.6
01/26 11,82.38,297.9,320.0
01/26 12,80.63,311.8,334.9
01/26 13,73.8,304.1,326.6
01/26 14,61.4,289.6,311.0
01/26 15,43.3,290.8,347.1
01/26 16,21.69,288.1,336.4
01/26 17,6.16,288.6,310.0
01/26 18,0.9,306.6,329.3
01/26 19,0.0,337.0,411.3
01/26 20,0.0,321.1,344.9
01/26 21,0.0,297.6,319.7
01/26 22,0.0,284.3,305.4
01/26 23,0.0,246.6,304.5
